wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
6093.644,26,4.607,-1.3,32.3,30.8,36.2,32.8,13.2,30.5,32.9,43.9,9.8,32.8,30.9
6096.665,26,3.9841,-1.81,34.8,,39.8,,,38.3,,51.1,,,
6151.618,26,2.1759,-3.299,50.6,48.9,54.8,54.1,27.8,52.2,54.5,62.1,23,54.1,50.8
6157.728,26,4.076,-1.22,63.9,61.4,64.8,62.9,39.5,61.5,65.8,73.2,34,64.4,62.1
6165.36,26,4.1426,-1.46,45.2,43.3,47.2,45.1,22.8,43.2,47,55.1,18.1,46,43.6
6173.335,26,2.223,-2.88,68.8,67.2,74.8,72,46.3,69.5,76.3,80.2,40.8,75.3,68.2
6187.99,26,3.943,-1.67,48.8,47.1,51.2,50.4,24.1,46.9,52.1,60.9,18.7,53.6,46.5
6200.313,26,2.6085,-2.437,73.1,73.4,75,75.9,51.3,74.1,84.8,84.8,44.3,79.1,75.1
6213.43,26,2.2227,-2.52,83.4,82.6,86.1,86.7,61,85.1,90.4,94.1,54.7,86.3,83.4
6219.281,26,2.198,-2.433,89.7,89.1,94.4,92.5,67.3,91.2,98.6,101.7,62.1,93.7,90.6
6226.736,26,3.883,-2.1,30.5,29.7,32.2,32.6,12.6,29.8,33.4,42,9.6,33,29
6240.646,26,2.2227,-3.233,48.6,47.4,53.6,51.6,26.8,51.1,54.1,61.7,21.5,50.9,49.7
6252.555,26,2.404,-1.687,118.1,117.8,123.8,122.2,91.1,118.8,124.5,133.8,86.3,123.5,117
6265.134,26,2.1759,-2.55,86.4,84.9,91,88.6,64.5,86.4,92.3,99.1,59,88.8,86.4
6270.225,26,2.858,-2.54,52,52.1,56.4,56.2,29.3,52.3,57.3,64,24.2,55.8,52.8
6271.279,26,3.332,-2.703,23.4,23.5,27.7,26.3,9.5,24.2,28.5,34.7,7.9,27.3,24.6
6380.743,26,4.186,-1.376,52.6,52.2,55.1,54.6,28.9,52.2,55.2,64.2,24.4,54.1,52.7
6392.539,26,2.279,-4.03,16.7,17.1,21.3,20.3,7.4,18.8,21.3,26.8,5.3,20.7,18.5
