wavelength,species,ep,gf,K11,Sun,HD1178,HD10145,HD16623,HD20329,HD21727,HD21774,HD28474,HD176733,HD191069
-5727.058,23,1.081,-1.034,0,0,0,0,0,0,0,0,0,0,0
-5727.065,23,1.081,-2.294,0,0,0,0,0,0,0,0,0,0,0
-5727.065,23,1.081,-1.449,0,0,0,0,0,0,0,0,0,0,0
-5727.065,23,1.081,-1.18,0,0,0,0,0,0,0,0,0,0,0
-5727.07,23,1.081,-2.449,0,0,0,0,0,0,0,0,0,0,0
-5727.07,23,1.081,-1.554,0,0,0,0,0,0,0,0,0,0,0
-5727.07,23,1.081,-1.35,0,0,0,0,0,0,0,0,0,0,0
-5727.074,23,1.081,-1.75,0,0,0,0,0,0,0,0,0,0,0
-5727.074,23,1.081,-1.554,0,0,0,0,0,0,0,0,0,0,0
-5727.076,23,1.081,-1.817,0,0,0,0,0,0,0,0,0,0,0
6039.727,23,1.063,-1.854,12.7,12.4,18,15.7,6.4,31,17.8,21.1,5.1,17,14.2
-6039.729,23,1.063,-1.854,0,0,0,0,0,0,0,0,0,0,0
-6039.73,23,1.063,-2.03,0,0,0,0,0,0,0,0,0,0,0
-6039.733,23,1.063,-1.69,0,0,0,0,0,0,0,0,0,0,0
-6039.733,23,1.063,-2.155,0,0,0,0,0,0,0,0,0,0,0
-6039.734,23,1.063,-2.28,0,0,0,0,0,0,0,0,0,0,0
-6039.738,23,1.063,-1.682,0,0,0,0,0,0,0,0,0,0,0
-6039.738,23,1.063,-1.716,0,0,0,0,0,0,0,0,0,0,0
-6039.739,23,1.063,-2.708,0,0,0,0,0,0,0,0,0,0,0
-6039.744,23,1.063,-1.843,0,0,0,0,0,0,0,0,0,0,0
-6039.744,23,1.063,-1.433,0,0,0,0,0,0,0,0,0,0,0
-6039.751,23,1.063,-1.217,0,0,0,0,0,0,0,0,0,0,0
6081.417,23,1.051,-1.66,16.2,14.9,21.6,18.5,8.7,23.3,20.5,24.8,5,20.8,17.1
-6081.417,23,1.051,-1.484,0,0,0,0,0,0,0,0,0,0,0
-6081.427,23,1.051,-1.484,0,0,0,0,0,0,0,0,0,0,0
-6081.428,23,1.051,-1.359,0,0,0,0,0,0,0,0,0,0,0
-6081.442,23,1.051,-1.359,0,0,0,0,0,0,0,0,0,0,0
-6081.442,23,1.051,-1.677,0,0,0,0,0,0,0,0,0,0,0
-6081.442,23,1.051,-1.472,0,0,0,0,0,0,0,0,0,0,0
-6081.46,23,1.051,-1.472,0,0,0,0,0,0,0,0,0,0,0
6090.199,23,1.08,-0.692,33.6,32.6,43.6,40.5,19.8,45.4,42.7,49.4,14.5,42.3,38.1
-6090.207,23,1.08,-0.833,0,0,0,0,0,0,0,0,0,0,0
-6090.213,23,1.08,-0.997,0,0,0,0,0,0,0,0,0,0,0
-6090.213,23,1.08,-1.532,0,0,0,0,0,0,0,0,0,0,0
-6090.218,23,1.08,-1.195,0,0,0,0,0,0,0,0,0,0,0
-6090.218,23,1.08,-1.336,0,0,0,0,0,0,0,0,0,0,0
-6090.223,23,1.08,-1.45,0,0,0,0,0,0,0,0,0,0,0
-6090.223,23,1.08,-1.282,0,0,0,0,0,0,0,0,0,0,0
-6090.225,23,1.08,-2.646,0,0,0,0,0,0,0,0,0,0,0
-6090.226,23,1.08,-1.304,0,0,0,0,0,0,0,0,0,0,0
-6090.227,23,1.08,-1.838,0,0,0,0,0,0,0,0,0,0,0
-6090.228,23,1.08,-2.236,0,0,0,0,0,0,0,0,0,0,0
-6090.229,23,1.08,-1.394,0,0,0,0,0,0,0,0,0,0,0
-6090.231,23,1.08,-1.583,0,0,0,0,0,0,0,0,0,0,0
-6090.231,23,1.08,-2.014,0,0,0,0,0,0,0,0,0,0,0
-6090.232,23,1.08,-1.889,0,0,0,0,0,0,0,0,0,0,0
-6090.233,23,1.08,-1.868,0,0,0,0,0,0,0,0,0,0,0
-6090.233,23,1.08,-1.838,0,0,0,0,0,0,0,0,0,0,0
6119.51,23,1.064,-1.825,23.8,23.6,31.4,28.4,12.6,32.7,31.4,36.1,9.1,29.9,26.6
-6119.514,23,1.064,-1.386,0,0,0,0,0,0,0,0,0,0,0
-6119.516,23,1.064,-1.524,0,0,0,0,0,0,0,0,0,0,0
-6119.519,23,1.064,-1.524,0,0,0,0,0,0,0,0,0,0,0
-6119.519,23,1.064,-1.103,0,0,0,0,0,0,0,0,0,0,0
-6119.521,23,1.064,-1.36,0,0,0,0,0,0,0,0,0,0,0
-6119.527,23,1.064,-1.7,0,0,0,0,0,0,0,0,0,0,0
-6119.527,23,1.064,-0.887,0,0,0,0,0,0,0,0,0,0,0
-6119.528,23,1.064,-1.352,0,0,0,0,0,0,0,0,0,0,0
-6119.535,23,1.064,-1.95,0,0,0,0,0,0,0,0,0,0,0
-6119.537,23,1.064,-1.513,0,0,0,0,0,0,0,0,0,0,0
-6119.546,23,1.064,-2.378,0,0,0,0,0,0,0,0,0,0,0
6199.155,23,0.286,-1.958,13.6,13.8,21,17.5,6.7,22.9,21.7,24.2,4.2,21.3,16.5
-6199.173,23,0.286,-2.063,0,0,0,0,0,0,0,0,0,0,0
-6199.188,23,0.286,-2.179,0,0,0,0,0,0,0,0,0,0,0
-6199.203,23,0.286,-2.308,0,0,0,0,0,0,0,0,0,0,0
-6199.207,23,0.286,-2.966,0,0,0,0,0,0,0,0,0,0,0
-6199.215,23,0.286,-2.454,0,0,0,0,0,0,0,0,0,0,0
-6199.218,23,0.286,-2.755,0,0,0,0,0,0,0,0,0,0,0
-6199.226,23,0.286,-2.624,0,0,0,0,0,0,0,0,0,0,0
-6199.227,23,0.286,-2.682,0,0,0,0,0,0,0,0,0,0,0
-6199.235,23,0.286,-2.676,0,0,0,0,0,0,0,0,0,0,0
-6199.236,23,0.286,-2.828,0,0,0,0,0,0,0,0,0,0,0
-6199.241,23,0.286,-2.723,0,0,0,0,0,0,0,0,0,0,0
-6199.244,23,0.286,-3.091,0,0,0,0,0,0,0,0,0,0,0
-6199.246,23,0.286,-2.828,0,0,0,0,0,0,0,0,0,0,0
-6199.249,23,0.286,-3.024,0,0,0,0,0,0,0,0,0,0,0
-6199.252,23,0.286,-4.267,0,0,0,0,0,0,0,0,0,0,0
-6199.256,23,0.286,-3.869,0,0,0,0,0,0,0,0,0,0,0
-6199.259,23,0.286,-3.723,0,0,0,0,0,0,0,0,0,0,0
-6199.259,23,0.286,-3.665,0,0,0,0,0,0,0,0,0,0,0
-6199.26,23,0.286,-3.568,0,0,0,0,0,0,0,0,0,0,0
-6199.261,23,0.286,-3.568,0,0,0,0,0,0,0,0,0,0,0
6251.771,23,0.286,-2.924,17,15.6,23.5,21.3,7.4,26.7,24.4,28.1,5,21.7,19.5
-6251.788,23,0.286,-2.72,0,0,0,0,0,0,0,0,0,0,0
-6251.804,23,0.286,-2.655,0,0,0,0,0,0,0,0,0,0,0
-6251.806,23,0.286,-2.021,0,0,0,0,0,0,0,0,0,0,0
-6251.817,23,0.286,-2.662,0,0,0,0,0,0,0,0,0,0,0
-6251.818,23,0.286,-2.208,0,0,0,0,0,0,0,0,0,0,0
-6251.829,23,0.286,-2.728,0,0,0,0,0,0,0,0,0,0,0
-6251.829,23,0.286,-2.427,0,0,0,0,0,0,0,0,0,0,0
-6251.837,23,0.286,-2.69,0,0,0,0,0,0,0,0,0,0,0
-6251.839,23,0.286,-2.866,0,0,0,0,0,0,0,0,0,0,0
-6251.844,23,0.286,-3.021,0,0,0,0,0,0,0,0,0,0,0
-6251.848,23,0.286,-3.146,0,0,0,0,0,0,0,0,0,0,0
-6251.849,23,0.286,-3.468,0,0,0,0,0,0,0,0,0,0,0
-6251.853,23,0.286,-4.167,0,0,0,0,0,0,0,0,0,0,0
-6251.853,23,0.286,-2.924,0,0,0,0,0,0,0,0,0,0,0
-6251.859,23,0.286,-3.146,0,0,0,0,0,0,0,0,0,0,0
-6251.859,23,0.286,-2.72,0,0,0,0,0,0,0,0,0,0,0
-6251.862,23,0.286,-2.655,0,0,0,0,0,0,0,0,0,0,0
-6251.863,23,0.286,-2.866,0,0,0,0,0,0,0,0,0,0,0
-6251.864,23,0.286,-2.728,0,0,0,0,0,0,0,0,0,0,0
-6251.864,23,0.286,-2.662,0,0,0,0,0,0,0,0,0,0,0
4801.047,24,3.1216,-0.13,50.5,49.8,53.7,56.1,28.3,51.2,54.4,61.9,23,53.1,50.3
4936.335,24,3.1128,-0.25,46.6,45.4,50.7,48.8,24.9,48.3,50.5,60,19.9,50.7,46.3
5214.14,24,3.3694,-0.74,18.3,17,18.3,17.4,6.1,19.8,19.5,24.6,5,18.6,17.4
5238.964,24,2.709,-1.27,15.9,16.8,19.9,18.6,6.3,17.7,20.1,26.3,6.4,20.8,17
5247.566,24,0.96,-1.59,81.7,81.5,88.5,86.2,57.9,86.2,88.4,94.3,51.6,88.8,83.2
5272.007,24,3.449,-0.42,26.8,26.2,29.1,28.8,10.9,27.8,30.8,38.3,8.2,30.2,27.9
5287.19,24,3.438,-0.87,10.3,10.3,12.1,11.7,4.2,11.2,12.8,17,3.5,12.9,11
5296.691,24,0.983,-1.36,91.2,93.3,,108.5,72.7,98.9,103,111.5,63.2,101.2,
5783.08,24,3.323,-0.43,32.6,31.4,35.2,34.3,13.2,31.7,35.2,44.7,10.9,36,30.8
5783.87,24,3.3223,-0.295,44.3,44.4,49.4,47.8,19.4,44.1,48.5,59.7,15.8,48.7,43.8
4588.199,24.1,4.071,-0.594,72.5,69.8,69.4,67.2,56.6,64.8,67.3,79.7,49.2,66,71.2
4592.049,24.1,4.073,-1.252,48.3,47.5,45.5,41.2,33.1,42,43.5,55.1,26.9,43.7,49
5237.328,24.1,4.073,-1.087,55.1,52.3,50.8,51.1,37.4,47.5,49.7,62.8,31.1,48,52.7
5246.767,24.1,3.714,-2.436,18.3,16.8,16,15.4,10.9,13.8,15.8,23.2,7.8,13.8,16.6
5502.067,24.1,4.1682,-2.049,21.1,18.6,18.1,18.2,11.2,16.1,18.6,26,6.4,16.9,19.6
4082.924,25,2.178,-1.9103,92.4,91.3,92.1,94.6,66.9,88.3,93.3,103.6,61,94.2,90.9
-4082.924,25,2.178,-1.5881,0,0,0,0,0,0,0,0,0,0,0
-4082.924,25,2.178,-1.7642,0,0,0,0,0,0,0,0,0,0,0
-4082.929,25,2.178,-1.9561,0,0,0,0,0,0,0,0,0,0,0
-4082.93,25,2.178,-1.4332,0,0,0,0,0,0,0,0,0,0,0
-4082.93,25,2.178,-1.354,0,0,0,0,0,0,0,0,0,0,0
-4082.938,25,2.178,-2.1322,0,0,0,0,0,0,0,0,0,0,0
-4082.938,25,2.178,-1.412,0,0,0,0,0,0,0,0,0,0,0
-4082.939,25,2.178,-1.081,0,0,0,0,0,0,0,0,0,0,0
-4082.948,25,2.178,-2.5124,0,0,0,0,0,0,0,0,0,0,0
-4082.949,25,2.178,-1.5581,0,0,0,0,0,0,0,0,0,0,0
-4082.949,25,2.178,-0.8689,0,0,0,0,0,0,0,0,0,0,0
4709.693,25,2.8884,-0.949,70.1,69.2,72.7,71.3,35.9,66.9,72.6,85,28.9,74.3,68.7
-4709.698,25,2.8884,-1.94,0,0,0,0,0,0,0,0,0,0,0
-4709.701,25,2.8884,-1.94,0,0,0,0,0,0,0,0,0,0,0
-4709.706,25,2.8884,-1.119,0,0,0,0,0,0,0,0,0,0,0
-4709.711,25,2.8884,-1.758,0,0,0,0,0,0,0,0,0,0,0
-4709.713,25,2.8884,-1.758,0,0,0,0,0,0,0,0,0,0,0
-4709.717,25,2.8884,-1.304,0,0,0,0,0,0,0,0,0,0,0
-4709.721,25,2.8884,-1.727,0,0,0,0,0,0,0,0,0,0,0
-4709.723,25,2.8884,-1.727,0,0,0,0,0,0,0,0,0,0,0
-4709.726,25,2.8884,-1.496,0,0,0,0,0,0,0,0,0,0,0
-4709.729,25,2.8884,-1.792,0,0,0,0,0,0,0,0,0,0,0
-4709.73,25,2.8884,-1.792,0,0,0,0,0,0,0,0,0,0,0
-4709.733,25,2.8884,-1.671,0,0,0,0,0,0,0,0,0,0,0
-4709.735,25,2.8884,-1.99,0,0,0,0,0,0,0,0,0,0,0
-4709.736,25,2.8884,-1.99,0,0,0,0,0,0,0,0,0,0,0
-4709.737,25,2.8884,-1.735,0,0,0,0,0,0,0,0,0,0,0
4739.072,25,2.941,-1.518,61.2,61.2,63.1,60.8,26.8,56.7,64.3,79.5,21.4,65.8,59.2
-4739.072,25,2.941,-1.041,0,0,0,0,0,0,0,0,0,0,0
-4739.088,25,2.941,-1.416,0,0,0,0,0,0,0,0,0,0,0
-4739.088,25,2.941,-1.59,0,0,0,0,0,0,0,0,0,0,0
-4739.088,25,2.941,-1.518,0,0,0,0,0,0,0,0,0,0,0
-4739.1,25,2.941,-1.416,0,0,0,0,0,0,0,0,0,0,0
-4739.101,25,2.941,-1.548,0,0,0,0,0,0,0,0,0,0,0
-4739.101,25,2.941,-3.125,0,0,0,0,0,0,0,0,0,0,0
-4739.109,25,2.941,-1.916,0,0,0,0,0,0,0,0,0,0,0
-4739.109,25,2.941,-1.548,0,0,0,0,0,0,0,0,0,0,0
5004.887,25,2.92,-4.332,13.6,14.4,14,13.8,3.9,12.6,15.2,22,4.2,15.8,12.9
-5004.887,25,2.92,-3.115,0,0,0,0,0,0,0,0,0,0,0
-5004.887,25,2.92,-2.197,0,0,0,0,0,0,0,0,0,0,0
-5004.891,25,2.92,-3.98,0,0,0,0,0,0,0,0,0,0,0
-5004.891,25,2.92,-2.939,0,0,0,0,0,0,0,0,0,0,0
-5004.891,25,2.92,-2.337,0,0,0,0,0,0,0,0,0,0,0
-5004.894,25,2.92,-3.855,0,0,0,0,0,0,0,0,0,0,0
-5004.894,25,2.92,-2.913,0,0,0,0,0,0,0,0,0,0,0
-5004.894,25,2.92,-2.495,0,0,0,0,0,0,0,0,0,0,0
-5004.896,25,2.92,-3.934,0,0,0,0,0,0,0,0,0,0,0
-5004.896,25,2.92,-2.98,0,0,0,0,0,0,0,0,0,0,0
-5004.896,25,2.92,-2.679,0,0,0,0,0,0,0,0,0,0,0
-5004.898,25,2.92,-3.186,0,0,0,0,0,0,0,0,0,0,0
-5004.898,25,2.92,-3.156,0,0,0,0,0,0,0,0,0,0,0
-5004.898,25,2.92,-2.901,0,0,0,0,0,0,0,0,0,0,0
5399.45,25,3.85,-1.162,39.9,38.4,40.6,38.8,11.3,33.7,40.7,60.8,8.3,42.4,35.3
-5399.455,25,3.85,-1.03,0,0,0,0,0,0,0,0,0,0,0
-5399.465,25,3.85,-1.53,0,0,0,0,0,0,0,0,0,0,0
-5399.465,25,3.85,-1.132,0,0,0,0,0,0,0,0,0,0,0
-5399.478,25,3.85,-2.74,0,0,0,0,0,0,0,0,0,0,0
-5399.494,25,3.85,-1.162,0,0,0,0,0,0,0,0,0,0,0
-5399.497,25,3.85,-1.204,0,0,0,0,0,0,0,0,0,0,0
-5399.521,25,3.85,-1.03,0,0,0,0,0,0,0,0,0,0,0
-5399.522,25,3.85,-0.655,0,0,0,0,0,0,0,0,0,0,0
-5399.555,25,3.85,-1.132,0,0,0,0,0,0,0,0,0,0,0
6013.52,25,3.073,-0.765,87.3,86.4,89.1,87.7,38.6,82.6,92.1,109.6,31.2,93,81.6
-6013.545,25,3.073,-0.977,0,0,0,0,0,0,0,0,0,0,0
-6013.567,25,3.073,-1.25,0,0,0,0,0,0,0,0,0,0,0
-6013.573,25,3.073,-1.454,0,0,0,0,0,0,0,0,0,0,0
-6013.584,25,3.073,-1.66,0,0,0,0,0,0,0,0,0,0,0
-6013.587,25,3.073,-1.308,0,0,0,0,0,0,0,0,0,0,0
-6013.598,25,3.073,-1.329,0,0,0,0,0,0,0,0,0,0,0
-6013.605,25,3.073,-1.484,0,0,0,0,0,0,0,0,0,0,0
-6013.615,25,3.073,-2.408,0,0,0,0,0,0,0,0,0,0,0
-6013.615,25,3.073,-1.806,0,0,0,0,0,0,0,0,0,0,0
-6013.619,25,3.073,-2.028,0,0,0,0,0,0,0,0,0,0,0
-6013.619,25,3.073,-1.852,0,0,0,0,0,0,0,0,0,0,0
6016.613,25,3.073,-1.444,98.4,95,98,96.3,47.9,90.1,99.6,116.1,39.6,100.8,90.3
-6016.64,25,3.073,-0.666,0,0,0,0,0,0,0,0,0,0,0
-6016.64,25,3.073,-1.281,0,0,0,0,0,0,0,0,0,0,0
-6016.661,25,3.073,-1.276,0,0,0,0,0,0,0,0,0,0,0
-6016.662,25,3.073,-0.929,0,0,0,0,0,0,0,0,0,0,0
-6016.678,25,3.073,-1.378,0,0,0,0,0,0,0,0,0,0,0
-6016.679,25,3.073,-1.26,0,0,0,0,0,0,0,0,0,0,0
-6016.689,25,3.073,-1.444,0,0,0,0,0,0,0,0,0,0,0
-6016.69,25,3.073,-1.707,0,0,0,0,0,0,0,0,0,0,0
-6016.691,25,3.073,-1.64,0,0,0,0,0,0,0,0,0,0,0
-6016.697,25,3.073,-2.406,0,0,0,0,0,0,0,0,0,0,0
-6016.701,25,3.073,-1.281,0,0,0,0,0,0,0,0,0,0,0
-6016.707,25,3.073,-1.64,0,0,0,0,0,0,0,0,0,0,0
-6016.708,25,3.073,-1.276,0,0,0,0,0,0,0,0,0,0,0
-6016.709,25,3.073,-1.378,0,0,0,0,0,0,0,0,0,0,0
6021.746,25,3.075,-2.668,97,95,97.5,95.6,55.5,92.8,100.3,114,47.2,102.3,91.4
-6021.772,25,3.075,-1.451,0,0,0,0,0,0,0,0,0,0,0
-6021.774,25,3.075,-2.316,0,0,0,0,0,0,0,0,0,0,0
-6021.795,25,3.075,-1.275,0,0,0,0,0,0,0,0,0,0,0
-6021.798,25,3.075,-2.191,0,0,0,0,0,0,0,0,0,0,0
-6021.804,25,3.075,-0.533,0,0,0,0,0,0,0,0,0,0,0
-6021.813,25,3.075,-1.249,0,0,0,0,0,0,0,0,0,0,0
-6021.817,25,3.075,-2.271,0,0,0,0,0,0,0,0,0,0,0
-6021.821,25,3.075,-0.673,0,0,0,0,0,0,0,0,0,0,0
-6021.827,25,3.075,-1.316,0,0,0,0,0,0,0,0,0,0,0
-6021.834,25,3.075,-0.831,0,0,0,0,0,0,0,0,0,0,0
-6021.837,25,3.075,-1.492,0,0,0,0,0,0,0,0,0,0,0
-6021.843,25,3.075,-1.015,0,0,0,0,0,0,0,0,0,0,0
-6021.846,25,3.075,-1.522,0,0,0,0,0,0,0,0,0,0,0
-6021.847,25,3.075,-1.237,0,0,0,0,0,0,0,0,0,0,0
5212.591,27,3.5144,-1.882,23.2,,25.8,24.6,6,28.5,20.8,32.3,4.4,14.4,18.5
-5212.618,27,3.5144,-1.667,0,,0,0,0,0,0,0,0,0,0
-5212.642,27,3.5144,-1.59,0,,0,0,0,0,0,0,0,0,0
-5212.649,27,3.5144,-0.819,0,,0,0,0,0,0,0,0,0,0
-5212.664,27,3.5144,-1.579,0,,0,0,0,0,0,0,0,0,0
-5212.669,27,3.5144,-0.955,0,,0,0,0,0,0,0,0,0,0
-5212.683,27,3.5144,-1.622,0,,0,0,0,0,0,0,0,0,0
-5212.687,27,3.5144,-1.103,0,,0,0,0,0,0,0,0,0,0
-5212.7,27,3.5144,-1.725,0,,0,0,0,0,0,0,0,0,0
-5212.701,27,3.5144,-1.262,0,,0,0,0,0,0,0,0,0,0
-5212.713,27,3.5144,-1.431,0,,0,0,0,0,0,0,0,0,0
-5212.714,27,3.5144,-1.946,0,,0,0,0,0,0,0,0,0,0
-5212.722,27,3.5144,-1.598,0,,0,0,0,0,0,0,0,0,0
-5212.728,27,3.5144,-1.882,0,,0,0,0,0,0,0,0,0,0
-5212.729,27,3.5144,-1.736,0,,0,0,0,0,0,0,0,0,0
-5212.734,27,3.5144,-1.75,0,,0,0,0,0,0,0,0,0,0
-5212.738,27,3.5144,-1.667,0,,0,0,0,0,0,0,0,0,0
-5212.745,27,3.5144,-1.59,0,,0,0,0,0,0,0,0,0,0
-5212.748,27,3.5144,-1.946,0,,0,0,0,0,0,0,0,0,0
-5212.75,27,3.5144,-1.579,0,,0,0,0,0,0,0,0,0,0
-5212.751,27,3.5144,-1.725,0,,0,0,0,0,0,0,0,0,0
-5212.752,27,3.5144,-1.622,0,,0,0,0,0,0,0,0,0,0
5247.872,27,1.785,-2.71,18.8,18.5,24.6,21.1,9.2,25.1,23.3,30,7.1,23.6,22.2
-5247.897,27,1.785,-2.564,0,0,0,0,0,0,0,0,0,0,0
-5247.936,27,1.785,-2.564,0,0,0,0,0,0,0,0,0,0,0
-5247.962,27,1.785,-3.041,0,0,0,0,0,0,0,0,0,0,0
5483.309,27,1.7104,-2.12,52.1,50.5,62.6,58.4,29.7,66.3,61.3,72.7,22.1,61.6,58
-5483.334,27,1.7104,-2.261,0,0,0,0,0,0,0,0,0,0,0
-5483.344,27,1.7104,-2.961,0,0,0,0,0,0,0,0,0,0,0
-5483.354,27,1.7104,-2.425,0,0,0,0,0,0,0,0,0,0,0
-5483.363,27,1.7104,-2.764,0,0,0,0,0,0,0,0,0,0,0
-5483.37,27,1.7104,-2.623,0,0,0,0,0,0,0,0,0,0,0
-5483.372,27,1.7104,-4.074,0,0,0,0,0,0,0,0,0,0,0
-5483.378,27,1.7104,-2.71,0,0,0,0,0,0,0,0,0,0,0
-5483.383,27,1.7104,-2.878,0,0,0,0,0,0,0,0,0,0,0
-5483.387,27,1.7104,-3.664,0,0,0,0,0,0,0,0,0,0,0
-5483.389,27,1.7104,-2.732,0,0,0,0,0,0,0,0,0,0,0
-5483.393,27,1.7104,-3.266,0,0,0,0,0,0,0,0,0,0,0
-5483.397,27,1.7104,-2.822,0,0,0,0,0,0,0,0,0,0,0
-5483.397,27,1.7104,-3.442,0,0,0,0,0,0,0,0,0,0,0
-5483.402,27,1.7104,-3.011,0,0,0,0,0,0,0,0,0,0,0
-5483.403,27,1.7104,-3.317,0,0,0,0,0,0,0,0,0,0,0
-5483.407,27,1.7104,-3.296,0,0,0,0,0,0,0,0,0,0,0
-5483.407,27,1.7104,-3.266,0,0,0,0,0,0,0,0,0,0,0
5530.734,27,1.711,-2.86,19.9,19.5,26.9,23,10,26.5,24.4,33,7.5,25.6,25.8
-5530.757,27,1.711,-3.001,0,0,0,0,0,0,0,0,0,0,0
-5530.767,27,1.711,-3.7,0,0,0,0,0,0,0,0,0,0,0
-5530.776,27,1.711,-3.165,0,0,0,0,0,0,0,0,0,0,0
-5530.785,27,1.711,-3.504,0,0,0,0,0,0,0,0,0,0,0
-5530.791,27,1.711,-3.363,0,0,0,0,0,0,0,0,0,0,0
-5530.794,27,1.711,-4.814,0,0,0,0,0,0,0,0,0,0,0
-5530.799,27,1.711,-3.45,0,0,0,0,0,0,0,0,0,0,0
-5530.803,27,1.711,-3.618,0,0,0,0,0,0,0,0,0,0,0
-5530.808,27,1.711,-4.404,0,0,0,0,0,0,0,0,0,0,0
-5530.809,27,1.711,-3.472,0,0,0,0,0,0,0,0,0,0,0
-5530.812,27,1.711,-4.006,0,0,0,0,0,0,0,0,0,0,0
-5530.816,27,1.711,-3.563,0,0,0,0,0,0,0,0,0,0,0
-5530.817,27,1.711,-4.182,0,0,0,0,0,0,0,0,0,0,0
-5530.82,27,1.711,-3.751,0,0,0,0,0,0,0,0,0,0,0
-5530.822,27,1.711,-4.057,0,0,0,0,0,0,0,0,0,0,0
-5530.825,27,1.711,-4.006,0,0,0,0,0,0,0,0,0,0,0
-5530.825,27,1.711,-4.036,0,0,0,0,0,0,0,0,0,0,0
5647.207,27,2.28,-2.127,14.7,14.3,18.4,17,7.8,20.2,18.2,23.4,5.3,18.8,17.7
-5647.22,27,2.28,-2.343,0,0,0,0,0,0,0,0,0,0,0
-5647.232,27,2.28,-2.626,0,0,0,0,0,0,0,0,0,0,0
-5647.239,27,2.28,-2.753,0,0,0,0,0,0,0,0,0,0,0
-5647.243,27,2.28,-3.065,0,0,0,0,0,0,0,0,0,0,0
-5647.246,27,2.28,-2.592,0,0,0,0,0,0,0,0,0,0,0
-5647.253,27,2.28,-2.6,0,0,0,0,0,0,0,0,0,0,0
-5647.259,27,2.28,-2.764,0,0,0,0,0,0,0,0,0,0,0
-5647.265,27,2.28,-3.618,0,0,0,0,0,0,0,0,0,0,0
-5647.267,27,2.28,-3.19,0,0,0,0,0,0,0,0,0,0,0
-5647.269,27,2.28,-2.764,0,0,0,0,0,0,0,0,0,0,0
-5647.269,27,2.28,-2.94,0,0,0,0,0,0,0,0,0,0,0
6188.925,27,1.71,-3.805,10.4,10.5,14.4,13,5.5,16.7,15,18.6,4,14.4,13.5
-6188.937,27,1.71,-3.106,0,0,0,0,0,0,0,0,0,0,0
-6188.968,27,1.71,-3.624,0,0,0,0,0,0,0,0,0,0,0
-6188.979,27,1.71,-3.398,0,0,0,0,0,0,0,0,0,0,0
-6188.991,27,1.71,-3.805,0,0,0,0,0,0,0,0,0,0,0
-6189.003,27,1.71,-3.593,0,0,0,0,0,0,0,0,0,0,0
-6189.012,27,1.71,-3.804,0,0,0,0,0,0,0,0,0,0,0
-6189.024,27,1.71,-3.624,0,0,0,0,0,0,0,0,0,0,0
-6189.03,27,1.71,-3.657,0,0,0,0,0,0,0,0,0,0,0
-6189.038,27,1.71,-4.521,0,0,0,0,0,0,0,0,0,0,0
-6189.048,27,1.71,-3.593,0,0,0,0,0,0,0,0,0,0,0
-6189.052,27,1.71,-3.856,0,0,0,0,0,0,0,0,0,0,0
-6189.057,27,1.71,-5.764,0,0,0,0,0,0,0,0,0,0,0
-6189.065,27,1.71,-3.657,0,0,0,0,0,0,0,0,0,0,0
-6189.069,27,1.71,-4.111,0,0,0,0,0,0,0,0,0,0,0
-6189.075,27,1.71,-3.856,0,0,0,0,0,0,0,0,0,0,0
6454.934,27,3.632,-2.0562,15,14.4,21.8,17.6,9.6,19.6,19.1,25.3,6.5,17.4,18
-6454.944,27,3.632,-1.9892,0,0,0,0,0,0,0,0,0,0,0
-6454.933,27,3.632,-1.7929,0,0,0,0,0,0,0,0,0,0,0
-6454.965,27,3.632,-2.6882,0,0,0,0,0,0,0,0,0,0,0
-6454.954,27,3.632,-1.7929,0,0,0,0,0,0,0,0,0,0,0
-6454.937,27,3.632,-1.5888,0,0,0,0,0,0,0,0,0,0,0
-6454.985,27,3.632,-2.5333,0,0,0,0,0,0,0,0,0,0,0
-6454.968,27,3.632,-1.6882,0,0,0,0,0,0,0,0,0,0,0
-6454.946,27,3.632,-1.4194,0,0,0,0,0,0,0,0,0,0,0
-6455.01,27,3.632,-2.5333,0,0,0,0,0,0,0,0,0,0,0
-6454.987,27,3.632,-1.6412,0,0,0,0,0,0,0,0,0,0,0
-6454.959,27,3.632,-1.2732,0,0,0,0,0,0,0,0,0,0,0
-6455.04,27,3.632,-2.6302,0,0,0,0,0,0,0,0,0,0,0
-6455.012,27,3.632,-1.6468,0,0,0,0,0,0,0,0,0,0,0
-6454.978,27,3.632,-1.1441,0,0,0,0,0,0,0,0,0,0,0
-6455.074,27,3.632,-2.8343,0,0,0,0,0,0,0,0,0,0,0
-6455.041,27,3.632,-1.7204,0,0,0,0,0,0,0,0,0,0,0
-6455.002,27,3.632,-1.0282,0,0,0,0,0,0,0,0,0,0,0
-6455.114,27,3.632,-3.2323,0,0,0,0,0,0,0,0,0,0,0
-6455.075,27,3.632,-1.9312,0,0,0,0,0,0,0,0,0,0,0
-6455.03,27,3.632,-0.9226,0,0,0,0,0,0,0,0,0,0,0
4953.208,28,3.7397,-0.66,56.9,55.9,58.9,56.7,36.1,57.8,58,67.8,29.3,59.7,56.1
5010.938,28,3.6353,-0.87,50.9,49.5,51.1,51.6,30.1,49.3,50.3,61.3,23.7,50.6,49.8
5176.56,28,3.8982,-0.44,56.4,54.8,55.8,54.8,34.6,54.5,56.8,67.4,28.8,56.5,55
